timestamp,steps
2024-04-18T02:10:00Z,7
2024-04-18T02:54:00Z,7
2024-04-18T03:40:00Z,11
2024-04-18T03:47:00Z,15
2024-04-18T03:48:00Z,34
2024-04-18T03:49:00Z,32
2024-04-18T03:55:00Z,5
2024-04-18T04:20:00Z,7
2024-04-18T06:33:00Z,6
2024-04-18T08:27:00Z,4
2024-04-18T12:34:00Z,4
2024-04-18T13:05:00Z,8
2024-04-18T13:06:00Z,11
2024-04-18T13:07:00Z,60
2024-04-18T13:08:00Z,30
2024-04-18T13:09:00Z,29
2024-04-18T13:11:00Z,32
2024-04-18T13:12:00Z,7
2024-04-18T13:16:00Z,19
2024-04-18T13:17:00Z,22
2024-04-18T13:18:00Z,19
2024-04-18T13:19:00Z,51
2024-04-18T13:20:00Z,56
2024-04-18T13:21:00Z,29
2024-04-18T13:22:00Z,35
2024-04-18T13:23:00Z,64
2024-04-18T13:24:00Z,62
2024-04-18T13:25:00Z,61
2024-04-18T13:26:00Z,11
2024-04-18T13:27:00Z,15
2024-04-18T13:30:00Z,8
2024-04-18T13:39:00Z,7
2024-04-18T13:41:00Z,22
2024-04-18T13:46:00Z,11
2024-04-18T13:48:00Z,7
2024-04-18T14:23:00Z,7
2024-04-18T14:24:00Z,15
2024-04-18T14:25:00Z,11
2024-04-18T14:26:00Z,19
2024-04-18T14:27:00Z,43
2024-04-18T14:28:00Z,21
2024-04-18T14:30:00Z,31
2024-04-18T14:31:00Z,38
2024-04-18T14:32:00Z,77
2024-04-18T14:33:00Z,110
2024-04-18T14:34:00Z,112
2024-04-18T14:35:00Z,126
2024-04-18T14:36:00Z,143
2024-04-18T14:37:00Z,134
2024-04-18T14:38:00Z,137
2024-04-18T14:39:00Z,135
2024-04-18T14:40:00Z,139
2024-04-18T14:41:00Z,141
2024-04-18T14:42:00Z,129
2024-04-18T14:43:00Z,133
2024-04-18T14:44:00Z,136
2024-04-18T14:45:00Z,134
2024-04-18T14:46:00Z,131
2024-04-18T14:47:00Z,132
2024-04-18T14:48:00Z,131
2024-04-18T14:49:00Z,137
2024-04-18T14:50:00Z,129
2024-04-18T14:51:00Z,133
2024-04-18T14:52:00Z,119
2024-04-18T14:53:00Z,119
2024-04-18T14:54:00Z,113
2024-04-18T14:55:00Z,112
2024-04-18T14:56:00Z,116
2024-04-18T14:57:00Z,104
2024-04-18T14:58:00Z,95
2024-04-18T14:59:00Z,45
2024-04-18T15:00:00Z,48
2024-04-18T15:04:00Z,29
2024-04-18T15:05:00Z,29
2024-04-18T15:06:00Z,24
2024-04-18T15:12:00Z,15
2024-04-18T15:17:00Z,34
2024-04-18T15:18:00Z,25
2024-04-18T15:19:00Z,22
2024-04-18T15:20:00Z,61
2024-04-18T15:21:00Z,51
2024-04-18T15:22:00Z,22
2024-04-18T15:23:00Z,36
2024-04-18T15:24:00Z,40
2024-04-18T15:25:00Z,32
2024-04-18T15:26:00Z,5
2024-04-18T15:27:00Z,6
2024-04-18T15:47:00Z,5
2024-04-18T16:07:00Z,11
2024-04-18T16:10:00Z,13
2024-04-18T16:11:00Z,3
2024-04-18T16:13:00Z,9
2024-04-18T16:20:00Z,9
2024-04-18T16:31:00Z,24
2024-04-18T16:39:00Z,15
2024-04-18T16:56:00Z,7
2024-04-18T17:16:00Z,7
2024-04-18T17:31:00Z,59
2024-04-18T17:32:00Z,15
2024-04-18T17:33:00Z,8
2024-04-18T17:34:00Z,16
2024-04-18T17:38:00Z,9
2024-04-18T17:39:00Z,14
2024-04-18T18:03:00Z,10
2024-04-18T18:06:00Z,6
2024-04-18T18:07:00Z,25
2024-04-18T18:13:00Z,10
2024-04-18T18:23:00Z,27
2024-04-18T18:24:00Z,36
2024-04-18T18:50:00Z,70
2024-04-18T18:54:00Z,10
2024-04-18T19:24:00Z,13
2024-04-18T19:25:00Z,29
2024-04-18T19:30:00Z,45
2024-04-18T19:31:00Z,9
2024-04-18T19:32:00Z,6
2024-04-18T19:37:00Z,41
2024-04-18T19:38:00Z,26
2024-04-18T19:39:00Z,56
2024-04-18T19:40:00Z,15
2024-04-18T19:41:00Z,120
2024-04-18T19:42:00Z,123
2024-04-18T19:43:00Z,112
2024-04-18T19:44:00Z,108
2024-04-18T19:45:00Z,41
2024-04-18T19:46:00Z,28
2024-04-18T19:53:00Z,61
2024-04-18T19:54:00Z,114
2024-04-18T19:55:00Z,111
2024-04-18T19:56:00Z,110
2024-04-18T19:57:00Z,61
2024-04-18T19:58:00Z,116
2024-04-18T19:59:00Z,104
2024-04-18T20:00:00Z,87
2024-04-18T20:01:00Z,56
2024-04-18T20:02:00Z,16
2024-04-18T20:03:00Z,8
2024-04-18T20:04:00Z,10
2024-04-18T20:11:00Z,48
2024-04-18T20:37:00Z,8
2024-04-18T21:10:00Z,8
2024-04-18T21:11:00Z,18
2024-04-18T21:17:00Z,25
2024-04-18T21:18:00Z,7
2024-04-18T22:05:00Z,12
2024-04-18T22:09:00Z,26
2024-04-18T22:15:00Z,6
2024-04-18T22:16:00Z,16
2024-04-18T22:17:00Z,43
2024-04-18T22:18:00Z,13
2024-04-18T22:21:00Z,39
2024-04-18T22:22:00Z,19
2024-04-18T22:23:00Z,7
2024-04-18T22:24:00Z,17
2024-04-18T22:26:00Z,70
2024-04-18T22:27:00Z,71
2024-04-18T22:28:00Z,17
2024-04-18T22:29:00Z,20
2024-04-18T22:41:00Z,9
2024-04-18T22:43:00Z,21
2024-04-18T22:50:00Z,7
2024-04-18T22:51:00Z,7
2024-04-18T22:53:00Z,48
2024-04-18T22:54:00Z,11
2024-04-18T22:55:00Z,29
2024-04-18T22:56:00Z,24
2024-04-18T22:57:00Z,14
2024-04-18T22:58:00Z,8
2024-04-18T22:59:00Z,42
2024-04-18T23:00:00Z,51
2024-04-18T23:01:00Z,56
2024-04-18T23:02:00Z,21
2024-04-18T23:03:00Z,7
2024-04-18T23:04:00Z,14
2024-04-18T23:05:00Z,44
2024-04-18T23:06:00Z,15
2024-04-18T23:07:00Z,48
2024-04-18T23:08:00Z,72
2024-04-18T23:09:00Z,40
2024-04-18T23:10:00Z,28
2024-04-18T23:11:00Z,26
2024-04-18T23:12:00Z,32
2024-04-18T23:13:00Z,43
2024-04-18T23:14:00Z,34
2024-04-18T23:15:00Z,17
2024-04-18T23:16:00Z,47
2024-04-18T23:17:00Z,83
2024-04-18T23:18:00Z,113
2024-04-18T23:19:00Z,58
2024-04-18T23:20:00Z,32
2024-04-18T23:21:00Z,68
2024-04-18T23:22:00Z,31
2024-04-18T23:23:00Z,13
2024-04-18T23:24:00Z,60
2024-04-18T23:25:00Z,43
2024-04-18T23:26:00Z,55
2024-04-18T23:27:00Z,103
2024-04-18T23:28:00Z,105
2024-04-18T23:29:00Z,121
2024-04-18T23:30:00Z,87
2024-04-18T23:31:00Z,86
2024-04-18T23:32:00Z,59
2024-04-18T23:33:00Z,54
2024-04-18T23:34:00Z,21
2024-04-18T23:35:00Z,33
2024-04-18T23:36:00Z,76
2024-04-18T23:37:00Z,42
2024-04-18T23:38:00Z,66
2024-04-18T23:39:00Z,34
2024-04-18T23:40:00Z,26
2024-04-18T23:43:00Z,57
2024-04-18T23:44:00Z,49
2024-04-18T23:45:00Z,9
2024-04-18T23:50:00Z,6
2024-04-18T23:53:00Z,33
2024-04-18T23:54:00Z,30
2024-04-18T23:55:00Z,13
2024-04-19T00:01:00Z,10
2024-04-19T00:02:00Z,46
2024-04-19T00:03:00Z,26
2024-04-19T00:04:00Z,19
2024-04-19T00:05:00Z,40
2024-04-19T00:06:00Z,49
2024-04-19T00:07:00Z,37
2024-04-19T00:08:00Z,33
2024-04-19T00:09:00Z,24
2024-04-19T00:50:00Z,7
2024-04-19T00:51:00Z,6
2024-04-19T00:56:00Z,12
2024-04-19T00:57:00Z,10
2024-04-19T03:07:00Z,7
2024-04-19T03:29:00Z,9
2024-04-19T04:21:00Z,33
2024-04-19T04:22:00Z,40
2024-04-19T04:25:00Z,6
2024-04-19T05:05:00Z,13
2024-04-19T05:08:00Z,4
2024-04-19T05:12:00Z,7
2024-04-19T11:23:00Z,5
2024-04-19T11:24:00Z,4
2024-04-19T12:49:00Z,15
2024-04-19T12:56:00Z,39
2024-04-19T12:57:00Z,25
2024-04-19T12:58:00Z,47
2024-04-19T12:59:00Z,41
2024-04-19T13:01:00Z,19
2024-04-19T13:02:00Z,31
2024-04-19T13:03:00Z,36
2024-04-19T13:04:00Z,24
2024-04-19T13:05:00Z,10
2024-04-19T13:06:00Z,20
2024-04-19T13:07:00Z,28
2024-04-19T13:08:00Z,83
2024-04-19T13:09:00Z,112
