timestamp,lap time,stroke count,stroke type
2020-06-06T20:24:26Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:28:26Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:28:55Z,00:00:30.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:30:12Z,00:00:31.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:30:55Z,00:00:34.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:34:15Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:35:54Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:38:07Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:38:58Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T21:43:45Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T22:11:27Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T22:19:53Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:06:15Z,00:00:18.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:07:01Z,00:00:44.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:08:04Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:08:41Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:09:09Z,00:00:24.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:10:35Z,00:00:28.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:11:04Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:11:52Z,00:00:16.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:12:56Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:13:22Z,00:00:29.000,16,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:14:05Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:15:15Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:15:46Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:16:45Z,00:00:24.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:21:52Z,00:00:23.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:22:56Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:24:06Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:24:54Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:25:18Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:26:21Z,00:00:31.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:27:50Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:29:11Z,00:00:16.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:30:33Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:31:05Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:32:12Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:34:18Z,00:00:24.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:40:00Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:44:39Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:46:26Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T15:47:47Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T16:36:41Z,00:00:30.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T16:41:48Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T16:43:56Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T16:49:29Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
